"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sun",3581.40538796313
"2","member","Sun",919.974616087922
"3","casual","Mon",3372.28692301735
"4","member","Mon",842.572569441503
"5","casual","Tue",3596.35994917689
"6","member","Tue",826.142747003117
"7","casual","Wed",3718.66189688179
"8","member","Wed",823.999644234094
"9","casual","Thu",3682.98467067268
"10","member","Thu",823.92780326203
"11","casual","Fri",3773.83511159766
"12","member","Fri",824.530506415778
"13","casual","Sat",3331.91384107319
"14","member","Sat",968.933722973489
